Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,scale_vec_size_m,scale_vec_size_n,scale_vec_size_k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_128x128f32xe4m3_f32_void_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,134250496,1099645845504,8191,21.6761,5.76812,50730.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,138412032,1099645845504,7944,20.5716,6.26621,53454.4
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,136331264,1099645845504,8065,19.65,6.4615,55961.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_1x128f32xe4m3_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,136331264,1099645845504,8065,20.9444,6.06217,52503.2
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_128x128f32xe4m3_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,134250496,1099645845504,8191,19.4746,6.42017,56465.5
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,272629760,1099645845504,4033,20.5683,12.3446,53463.2
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,270548992,1099645845504,4064,20.7331,12.153,53038.2
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,270548992,1099645845504,4064,22.2,11.3499,49533.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,268468224,1099645845504,4096,23.8338,10.4906,46138.1
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,272629760,1099645845504,4033,23.1886,10.9496,47421.9
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,270548992,1099645845504,4064,21.3542,11.7995,51495.5
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,270548992,1099645845504,4064,22.4561,11.2205,48968.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,268468224,1099645845504,4096,21.8623,11.4366,50298.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,138412032,1099645845504,7944,19.641,6.56311,55987.2
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,136331264,1099645845504,8065,20.1932,6.28767,54456.2
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,136331264,1099645845504,8065,19.2196,6.60621,57214.9
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnt_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,134250496,1099645845504,8191,21.2198,5.89215,51821.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,138412032,1099645845504,7944,21.531,5.987,51072.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,136331264,1099645845504,8065,20.2678,6.26455,54255.9
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,136331264,1099645845504,8065,21.9537,5.78347,50089.4
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,134250496,1099645845504,8191,20.5522,6.08355,53504.9
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,35.1935,7.21458,31245.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,33.3042,7.56567,33018.3
