Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass3x_sm120_bssptensorop_spgemm_ue4m3xe2m1_ue4m3xe2m1_f32_void_bf16_128x64x256_1x1x1_0_tnt_align64_o_vs16_epi_tma,not_verified,success,universal,8192,8192,8192,fe2m1:row,fe2m1:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,sptensorop,f32,128,64,256,1,1,1,1,1,1,0,4,2,1,16,8,128,120,121,71303168,1099645845504,15422,4.52634,14.6711,242944
1,CUTLASS,gemm,cutlass3x_sm120_bssptensorop_spgemm_ue4m3xe2m1_ue4m3xe2m1_f32_void_bf16_128x128x256_1x1x1_0_tnt_align64_o_vs16_epi_tma,not_verified,success,universal,8192,8192,8192,fe2m1:row,fe2m1:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,sptensorop,f32,128,128,256,1,1,1,1,1,1,0,4,2,1,16,8,128,120,121,71303168,1099645845504,15422,9.36172,7.09338,117462
